FT_Voltage1,FT_Voltage2,DN_Voltage1,DN_Voltage2,Soiling Ratio
8030.765,7988.095,8236.495,8230.49,0.07290722570706372
7944.765,7878.645,8119.19,8098.225,0.25821541311386037
7774.985,7684.15,7940.385,7888.45,0.6540614844242489
7848.56,7739.15,8037.415,7983.445,0.6714845506919856
7937.25,7805.74,8100.81,8037.89,0.7767124522115698
7901.905,7759.85,8077.91,8016.875,0.7555791040009093
7308.05,7146.21,7447.24,7340.62,1.4316713305869007
6938.19,6764.795,7067.155,6941.8,1.7737689353070587
7302.515,7112.935,7445.96,7315.985,1.745577467512589
7181.86,6973.585,7337.275,7184.575,2.0811541069402444
6083.32,5927.345,6190.07,6100.41,1.4484488866846394
5249.455,5099.535,5320.01,5204.78,2.1659733722305123
6241.82,6034.61,6436.3,6260.67,2.72874166834983
6600.38,6295.66,6726.035,6480.69,3.6476913961940474
7618.955,7208.0,7822.48,7540.785,3.6010958161606004
7792.765,7374.05,7990.375,7710.9,3.4976456048683615
8027.6,7560.44,8253.67,7952.05,3.654374357104172
8264.805,7776.04,8511.465,8197.635,3.687144340016671
8361.03,7851.75,8598.185,8286.12,3.6294287689785545
8176.47,7659.575,8439.075,8098.115,4.040253226805081
7875.75,7874.475,8123.59,8121.925,0.02049586451310275
7613.43,7580.42,7813.735,7779.685,0.4357711133023998
7548.605,7506.245,7724.22,7677.42,0.6058864195996512
7762.34,7699.09,7986.41,7938.57,0.5990175811159225
7123.68,7032.405,7196.18,7116.935,1.1012092526868407
7461.53,7313.325,7632.405,7532.555,1.3082377048911773
7395.34,7184.875,7509.285,7387.37,1.6235234113500814
7802.645,7555.78,7971.2575,7828.58,1.789899523381346
7902.535,7620.23,8060.7,7906.38,1.914473929063229
7639.285,7351.055,7790.66,7634.425,2.00541417543571
7366.745,7076.26,7548.175,7375.585,2.2865129650544684
7928.145,7542.805,8062.73,7866.665,2.4317445827901913
8420.995,8010.335,8623.745,8408.735,2.4932323485910146
8457.605,8024.575,8673.575,8444.26,2.643834866246046
8077.7,7725.575,8405.01,8148.425,3.0527625785097228
7164.105,6812.585,7450.3,7182.235,3.5980430318242287
7237.99,6797.285,7492.28,7160.425,4.429292551799981
7692.265,7203.715,7914.435,7580.915,4.21407213528193
7709.545,7228.765,7997.675,7617.385,4.755006923887254
7304.41,6773.83,7470.79,7112.015,4.802370298188005
7634.83,7704.04,7865.08,7831.37,0.42860339627823285
8198.395,8282.425,8496.11,8465.3,0.3626365477848251
7966.63,8036.365,8291.9925,8269.775,0.26793921967489304
8070.145,8045.325,8293.78,8254.61,0.47228163756453717
8219.04,8147.74,8466.415,8410.175,0.6642717135883558
7891.54,7940.385,8256.975,8174.99,0.992918108629378
7843.285,7788.38,8174.46,8060.35,1.3959331870239706
7803.86,7736.22,8175.02,8044.24,1.5997514379169793
7835.035,7674.52,8126.04,7942.13,2.2632180004036386
7673.2,7501.445,7968.45,7779.545,2.3706617974637445
7787.515,7589.955,8116.275,7894.195,2.736230598396431
7827.165,7634.105,8203.99,7962.215,2.947041622430057
8050.21,7764.32,8362.49,8119.22,2.9090617746628045
8301.075,7968.605,8600.84,8319.895,3.266483273726749
8307.97,7980.89,8644.5325,8374.8475,3.119717578712319
7768.355,7344.28,7989.785,7712.665,3.468428749960104
7353.95,6967.545,7636.93,7327.275,4.054705228409854
6497.815,6081.785,6688.775,6382.385,4.58065938830353
7005.85,6515.09,7210.2,6861.07,4.842168039721508
7788.43,7341.78,8109.39,7757.105,4.34416152139681
7914.61,8124.53,8291.505,8261.785,0.358439149466826
8142.785,8229.08,8427.49,8364.74,0.744587059729528
7821.12,7937.235,8194.68,8128.135,0.8120512332391268
7847.895,7879.95,8153.37,8074.915,0.9622401534580171
7857.69,7934.77,8208.6,8128.82,0.9719075116341477
7949.655,8077.44,8401.71,8312.7,1.059427188036702
8121.69,8140.345,8488.405,8401.96,1.018389202682972
7981.92,8069.365,8435.095,8335.6,1.1795362115067938
7764.495,7788.315,8182.14,8069.625,1.3751292449163706
7745.44,7749.705,8120.68,8000.86,1.4754922001605852
7951.75,7959.015,8355.995,8220.98,1.6157860314660462
7775.785,7693.775,8061.34,7923.385,1.7113159846874084
6500.775,6366.57,6599.8,6477.27,1.8565714112548826
7304.35,7103.525,7579.375,7362.49,2.8615156262884502
7547.13,7404.605,7906.62,7702.09,2.586819652392549
7471.21,7301.845,7794.88,7562.235,2.9845873188554592
7747.75,7608.22,8169.895,7936.215,2.8602570779673457
8105.175,7868.955,8466.75,8229.285,2.8046771193196935
8079.36,7846.035,8485.925,8261.44,2.645380438785386
8230.29,7861.92,8518.05,8250.485,3.1411531982084946
8100.06,8219.84,8320.88,8337.23,-0.19649364009576348
7563.05,7708.29,7846.11,7808.62,0.47781639564063955
7581.34,7715.975,7920.26,7830.155,1.137652046776248
7875.75,7933.185,8153.985,8030.455,1.5149647687603025
7959.425,8021.85,8331.86,8185.035,1.7622115590036407
7581.995,7578.15,7931.1,7771.62,2.010818171502067
7824.015,7850.085,8238.065,8070.19,2.0377964971143214
8014.735,7781.22,8115.01,7907.21,2.5606869246002186
7781.44,7655.1,8065.805,7851.245,2.660118859803831
7804.135,7626.3550000000005,8095.525,7883.635,2.61737194314142
7864.72,7479.13,7987.65,7757.775,2.8778802276013598
7321.6,7028.915,7551.9,7294.14,3.4131807889405223
7777.035,7421.745,8030.32,7754.88,3.4300002988672884
7851.585,7541.77,8200.82,7906.515,3.5887264932043306
8027.725,7741.685,8461.195,8159.075,3.570654027002095
8099.225,7469.92,8203.79,7876.995,3.9834637405394453
7967.235,7445.445,8070.17,7759.77,3.846263461612328
7922.76,7525.105,8268.625,7905.025,4.397345386929512
7927.12,7461.75,8231.545,7850.16,4.633212841574701
7858.555,7370.235,8213.975,7818.555,4.813990790086408
